instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-13033	0	1043	results_swev	1	1	1	
astropy__astropy-13236	0	305	results_swev	1	1	1	
astropy__astropy-13398	0	4140	results_swev	1	1	1	
astropy__astropy-13453	0	0	results_swev	1	1	1	
astropy__astropy-14096	0	0	results_swev	1	1	1	
astropy__astropy-14182	0	3410	results_swev	1	1	1	
astropy__astropy-14598	0	0	results_swev	1	1	1	
astropy__astropy-7166	1	734	results_swev	1	1	1	
astropy__astropy-7336	1	763	results_swev	1	1	1	
django__django-10554	0	650	results_swev	1	1	1	
django__django-10973	0	2463	results_swev	1	1	1	
django__django-10999	0	497	results_swev	1	1	1	
django__django-11066	1	767	results_swev	1	1	1	
django__django-11087	0	0	results_swev	1	1	1	
django__django-11119	1	485	results_swev	1	1	1	
django__django-11141	0	777	results_swev	1	1	1	
django__django-11163	1	570	results_swev	1	1	1	
django__django-11211	0	0	results_swev	1	1	1	
django__django-11299	0	0	results_swev	1	1	1	
django__django-11532	0	0	results_swev	1	1	1	
django__django-11848	1	1063	results_swev	1	1	1	
django__django-11880	1	428	results_swev	1	1	1	
django__django-12039	1	1549	results_swev	1	1	1	
django__django-12125	0	795	results_swev	1	1	1	
django__django-12193	1	500	results_swev	1	1	1	
django__django-12273	0	0	results_swev	1	1	1	
django__django-12308	0	683	results_swev	1	1	1	
django__django-12663	0	1160	results_swev	1	1	1	
django__django-12741	1	1539	results_swev	1	1	1	
django__django-13128	0	802	results_swev	1	1	1	
django__django-13212	0	7032	results_swev	1	1	1	
django__django-13516	1	464	results_swev	1	1	1	
django__django-13551	0	1205	results_swev	1	1	1	
django__django-13568	1	1083	results_swev	1	1	1	
django__django-13590	1	816	results_swev	1	1	1	
django__django-13670	1	425	results_swev	1	1	1	
django__django-13807	0	1855	results_swev	1	1	1	
django__django-13809	1	1551	results_swev	1	1	1	
django__django-13810	1	1194	results_swev	1	1	1	
django__django-13837	1	1019	results_swev	1	1	1	
django__django-14053	0	0	results_swev	1	1	1	
django__django-14089	1	420	results_swev	1	1	1	
django__django-14155	0	0	results_swev	1	1	1	
django__django-14238	1	781	results_swev	1	1	1	
django__django-14404	0	569	results_swev	1	1	1	
django__django-14500	0	0	results_swev	1	1	1	
django__django-14534	0	412	results_swev	1	1	1	
django__django-14539	0	0	results_swev	1	1	1	
django__django-15098	0	1520	results_swev	1	1	1	
django__django-15127	0	1926	results_swev	1	1	1	
django__django-15161	0	0	results_swev	1	1	1	
django__django-15278	0	0	results_swev	1	1	1	
django__django-15375	0	2289	results_swev	1	1	1	
django__django-15382	0	0	results_swev	1	1	1	
django__django-15525	1	1256	results_swev	1	1	1	
django__django-15554	0	765	results_swev	1	1	1	
django__django-15629	0	1514	results_swev	1	1	1	
django__django-15973	0	0	results_swev	1	1	1	
django__django-16032	0	2829	results_swev	1	1	1	
django__django-16136	1	738	results_swev	1	1	1	
django__django-16145	0	0	results_swev	1	1	1	
django__django-16255	1	524	results_swev	1	1	1	
django__django-16493	1	778	results_swev	1	1	1	
django__django-16612	1	761	results_swev	1	1	1	
django__django-16631	0	4648	results_swev	1	1	1	
django__django-16901	0	0	results_swev	1	1	1	
django__django-17084	0	0	results_swev	1	1	1	
django__django-17087	0	8074	results_swev	1	1	1	
matplotlib__matplotlib-20826	0	1441	results_swev	1	1	1	
matplotlib__matplotlib-20859	0	25869	results_swev	1	1	1	
matplotlib__matplotlib-22865	0	0	results_swev	1	1	1	
matplotlib__matplotlib-22871	0	0	results_swev	1	1	1	
matplotlib__matplotlib-23314	1	440	results_swev	1	1	1	
matplotlib__matplotlib-24970	1	516	results_swev	1	1	1	
matplotlib__matplotlib-25287	1	1149	results_swev	1	1	1	
matplotlib__matplotlib-25332	0	0	results_swev	1	1	1	
matplotlib__matplotlib-25479	0	659	results_swev	1	1	1	
matplotlib__matplotlib-26466	0	0	results_swev	1	1	1	
psf__requests-1724	1	1786	results_swev	1	1	1	
psf__requests-6028	0	0	results_swev	1	1	1	
pydata__xarray-3993	0	1477	results_swev	1	1	1	
pydata__xarray-4629	1	503	results_swev	1	1	1	
pydata__xarray-4687	0	353	results_swev	1	1	1	
pydata__xarray-6461	0	0	results_swev	1	1	1	
pydata__xarray-6744	0	881	results_swev	1	1	1	
pydata__xarray-7229	0	0	results_swev	1	1	1	
pydata__xarray-7233	0	0	results_swev	1	1	1	
pydata__xarray-7393	0	0	results_swev	1	1	1	
pylint-dev__pylint-6386	0	1007	results_swev	1	1	1	
pylint-dev__pylint-6528	0	3735	results_swev	1	1	1	
pylint-dev__pylint-6903	0	0	results_swev	1	1	1	
pylint-dev__pylint-8898	0	0	results_swev	1	1	1	
pytest-dev__pytest-10356	0	0	results_swev	1	1	1	
pytest-dev__pytest-5809	1	416	results_swev	1	1	1	
pytest-dev__pytest-5840	0	0	results_swev	1	1	1	
pytest-dev__pytest-6202	1	395	results_swev	1	1	1	
pytest-dev__pytest-7432	1	488	results_swev	1	1	1	
pytest-dev__pytest-7571	0	0	results_swev	1	1	1	
scikit-learn__scikit-learn-10844	1	631	results_swev	1	1	1	
scikit-learn__scikit-learn-11578	0	0	results_swev	1	1	1	
scikit-learn__scikit-learn-13439	1	474	results_swev	1	1	1	
scikit-learn__scikit-learn-13779	1	662	results_swev	1	1	1	
scikit-learn__scikit-learn-14053	1	1133	results_swev	1	1	1	
scikit-learn__scikit-learn-15100	1	584	results_swev	1	1	1	
scikit-learn__scikit-learn-25102	0	0	results_swev	1	1	1	
scikit-learn__scikit-learn-25973	0	0	results_swev	1	1	1	
scikit-learn__scikit-learn-26194	1	1350	results_swev	1	1	1	
scikit-learn__scikit-learn-9288	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-10449	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-10466	0	711	results_swev	1	1	1	
sphinx-doc__sphinx-11510	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-7440	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-7985	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-8265	0	461	results_swev	1	1	1	
sphinx-doc__sphinx-8459	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-8475	1	1072	results_swev	1	1	1	
sphinx-doc__sphinx-8548	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-9230	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-9258	0	0	results_swev	1	1	1	
sphinx-doc__sphinx-9602	0	2953	results_swev	1	1	1	
sphinx-doc__sphinx-9698	1	1324	results_swev	1	1	1	
sympy__sympy-12096	1	546	results_swev	1	1	1	
sympy__sympy-12481	0	1860	results_swev	1	1	1	
sympy__sympy-12489	0	7749	results_swev	1	1	1	
sympy__sympy-13091	0	0	results_swev	1	1	1	
sympy__sympy-13551	0	0	results_swev	1	1	1	
sympy__sympy-13647	0	0	results_swev	1	1	1	
sympy__sympy-13757	0	0	results_swev	1	1	1	
sympy__sympy-13852	0	0	results_swev	1	1	1	
sympy__sympy-13877	0	0	results_swev	1	1	1	
sympy__sympy-14531	1	1681	results_swev	1	1	1	
sympy__sympy-15017	1	2093	results_swev	1	1	1	
sympy__sympy-15875	0	0	results_swev	1	1	1	
sympy__sympy-16766	1	591	results_swev	1	1	1	
sympy__sympy-16792	1	3852	results_swev	1	1	1	
sympy__sympy-18698	0	1049	results_swev	1	1	1	
sympy__sympy-18763	0	0	results_swev	1	1	1	
sympy__sympy-19040	0	0	results_swev	1	1	1	
sympy__sympy-19495	0	0	results_swev	1	1	1	
sympy__sympy-19637	1	412	results_swev	1	1	1	
sympy__sympy-19954	1	1226	results_swev	1	1	1	
sympy__sympy-20154	1	1751	results_swev	1	1	1	
sympy__sympy-21612	0	0	results_swev	1	1	1	
sympy__sympy-23824	1	591	results_swev	1	1	1	
sympy__sympy-24213	1	713	results_swev	1	1	1	
sympy__sympy-24443	0	0	results_swev	1	1	1	
