instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-14365	0	493	results_swel	1	1	1	
astropy__astropy-6938	1	569	results_swel	1	1	1	
django__django-11001	1	543	results_swel	1	1	1	
django__django-11019	0	4969	results_swel	1	1	1	
django__django-11039	1	658	results_swel	1	1	1	
django__django-11422	1	1066	results_swel	1	1	1	
django__django-11797	1	771	results_swel	1	1	1	
django__django-12113		633	results_swel	1	1	1	
django__django-12184	1	608	results_swel	1	1	1	
django__django-12453	1	1025	results_swel	1	1	1	
django__django-13230	1	622	results_swel	1	1	1	
django__django-13321	0	720	results_swel	1	1	1	
django__django-13401	0	1158	results_swel	1	1	1	
django__django-13448		759	results_swel	1	1	1	
django__django-13660	1	994	results_swel	1	1	1	
django__django-13768	0	891	results_swel	1	1	1	
django__django-13933	1	1271	results_swel	1	1	1	
django__django-14382	1	708	results_swel	1	1	1	
django__django-14534	0	427	results_swel	1	1	1	
django__django-14608		2216	results_swel	1	1	1	
django__django-15252	0	0	results_swel	1	1	1	
django__django-15400	0	486	results_swel	1	1	1	
django__django-15695	0	727	results_swel	1	1	1	
django__django-15996		1110	results_swel	1	1	1	
django__django-16408	0	2796	results_swel	1	1	1	
django__django-16910	0	2468	results_swel	1	1	1	
matplotlib__matplotlib-22711	0	1029	results_swel	1	1	1	
matplotlib__matplotlib-23562	1	1121	results_swel	1	1	1	
matplotlib__matplotlib-23563	0	704	results_swel	1	1	1	
matplotlib__matplotlib-23913	1	799	results_swel	1	1	1	
matplotlib__matplotlib-24265	0	764	results_swel	1	1	1	
matplotlib__matplotlib-24334	1	561	results_swel	1	1	1	
mwaskom__seaborn-3010	1	656	results_swel	1	1	1	
pallets__flask-4992	0	1172	results_swel	1	1	1	
psf__requests-2148	1	1470	results_swel	1	1	1	
psf__requests-2317	1	1356	results_swel	1	1	1	
pylint-dev__pylint-6506	0	1905	results_swel	1	1	1	
pytest-dev__pytest-7168	0	664	results_swel	1	1	1	
pytest-dev__pytest-7490	1	856	results_swel	1	1	1	
pytest-dev__pytest-8365	0	664	results_swel	1	1	1	
pytest-dev__pytest-8906	0	0	results_swel	1	1	1	
scikit-learn__scikit-learn-13241	1	1116	results_swel	1	1	1	
scikit-learn__scikit-learn-13497	1	938	results_swel	1	1	1	
scikit-learn__scikit-learn-13779		699	results_swel	1	1	1	
scikit-learn__scikit-learn-15535	0	800	results_swel	1	1	1	
scikit-learn__scikit-learn-25500	0	589	results_swel	1	1	1	
sphinx-doc__sphinx-10325	1	1623	results_swel	1	1	1	
sphinx-doc__sphinx-8273	0	1103	results_swel	1	1	1	
sphinx-doc__sphinx-8282	0	1571	results_swel	1	1	1	
sphinx-doc__sphinx-8595	1	638	results_swel	1	1	1	
sphinx-doc__sphinx-8713	1	814	results_swel	1	1	1	
sympy__sympy-12171	0	669	results_swel	1	1	1	
sympy__sympy-12236		1032	results_swel	1	1	1	
sympy__sympy-12454	0	447	results_swel	1	1	1	
sympy__sympy-12481		794	results_swel	1	1	1	
sympy__sympy-13043	0	898	results_swel	1	1	1	
sympy__sympy-13773	0	816	results_swel	1	1	1	
sympy__sympy-14396	1	3243	results_swel	1	1	1	
sympy__sympy-15308	0	928	results_swel	1	1	1	
sympy__sympy-15346	1	668	results_swel	1	1	1	
sympy__sympy-16281	0	1045	results_swel	1	1	1	
sympy__sympy-16988		1375	results_swel	1	1	1	
sympy__sympy-19254	0	616	results_swel	1	1	1	
sympy__sympy-19487	0	541	results_swel	1	1	1	
sympy__sympy-20049	0	785	results_swel	1	1	1	
sympy__sympy-20212	1	454	results_swel	1	1	1	
sympy__sympy-20442	1	502	results_swel	1	1	1	
sympy__sympy-20590	1	476	results_swel	1	1	1	
sympy__sympy-21171	0	731	results_swel	1	1	1	
sympy__sympy-21614	1	418	results_swel	1	1	1	
sympy__sympy-22005		1635	results_swel	1	1	1	
sympy__sympy-23262	1	584	results_swel	1	1	1	
sympy__sympy-24909	0	748	results_swel	1	1	1	
