instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
adaptive-rejection-sampler	1.0		results_tb2t	1	1	1	
bn-fit-modify	1.0		results_tb2t	1	1	1	
break-filter-js-from-html	1.0		results_tb2t	1	1	1	
build-cython-ext	1.0		results_tb2t	1	1	1	
build-pmars	0.0		results_tb2t	1	1	1	
build-pov-ray	1.0		results_tb2t	1	1	1	
caffe-cifar-10	0.0		results_tb2t	1	1	1	
cancel-async-tasks	1.0		results_tb2t	1	1	1	
chess-best-move	0.0		results_tb2t	1	1	1	
circuit-fibsqrt	0.0		results_tb2t	1	1	1	
cobol-modernization	0.0		results_tb2t	1	1	1	
code-from-image	0.0		results_tb2t	1	1	1	
compile-compcert	0.0		results_tb2t	1	1	1	
configure-git-webserver	0.0		results_tb2t	1	1	1	
constraints-scheduling	1.0		results_tb2t	1	1	1	
count-dataset-tokens	0.0		results_tb2t	1	1	1	
crack-7z-hash	1.0		results_tb2t	1	1	1	
custom-memory-heap-crash	0.0		results_tb2t	1	1	1	
db-wal-recovery	1.0		results_tb2t	1	1	1	
distribution-search	1.0		results_tb2t	1	1	1	
dna-assembly	0.0		results_tb2t	1	1	1	
dna-insert	0.0		results_tb2t	1	1	1	
extract-elf	1.0		results_tb2t	1	1	1	
extract-moves-from-video	0.0		results_tb2t	1	1	1	
feal-differential-cryptanalysis	1.0		results_tb2t	1	1	1	
feal-linear-cryptanalysis	1.0		results_tb2t	1	1	1	
filter-js-from-html	0.0		results_tb2t	1	1	1	
financial-document-processor	0.0		results_tb2t	1	1	1	
fix-code-vulnerability	1.0		results_tb2t	1	1	1	
fix-git	1.0		results_tb2t	1	1	1	
fix-ocaml-gc	1.0		results_tb2t	1	1	1	
gcode-to-text	0.0		results_tb2t	1	1	1	
git-leak-recovery	1.0		results_tb2t	1	1	1	
git-multibranch	1.0		results_tb2t	1	1	1	
gpt2-codegolf	0.0		results_tb2t	1	1	1	
headless-terminal	1.0		results_tb2t	1	1	1	
hf-model-inference	1.0		results_tb2t	1	1	1	
install-windows-3.11	0.0		results_tb2t	1	1	1	
kv-store-grpc	1.0		results_tb2t	1	1	1	
large-scale-text-editing	1.0		results_tb2t	1	1	1	
largest-eigenval	1.0		results_tb2t	1	1	1	
llm-inference-batching-scheduler	1.0		results_tb2t	1	1	1	
log-summary-date-ranges	1.0		results_tb2t	1	1	1	
mailman	0.0		results_tb2t	1	1	1	
make-doom-for-mips	0.0		results_tb2t	1	1	1	
make-mips-interpreter	0.0		results_tb2t	1	1	1	
mcmc-sampling-stan	1.0		results_tb2t	1	1	1	
merge-diff-arc-agi-task	1.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
model-extraction-relu-logits	1.0		results_tb2t	1	1	1	
modernize-scientific-stack	1.0		results_tb2t	1	1	1	
mteb-leaderboard	0.0		results_tb2t	1	1	1	
mteb-retrieve	0.0		results_tb2t	1	1	1	
multi-source-data-merger	1.0		results_tb2t	1	1	1	
nginx-request-logging	1.0		results_tb2t	1	1	1	
openssl-selfsigned-cert	1.0		results_tb2t	1	1	1	
overfull-hbox	0.0		results_tb2t	1	1	1	
password-recovery	0.0		results_tb2t	1	1	1	
path-tracing	1.0		results_tb2t	1	1	1	
path-tracing-reverse	0.0		results_tb2t	1	1	1	
polyglot-c-py	0.0		results_tb2t	1	1	1	
polyglot-rust-c	0.0		results_tb2t	1	1	1	
portfolio-optimization	1.0		results_tb2t	1	1	1	
protein-assembly	1.0		results_tb2t	1	1	1	
prove-plus-comm	1.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
pypi-server	1.0		results_tb2t	1	1	1	
pytorch-model-cli	1.0		results_tb2t	1	1	1	
pytorch-model-recovery	1.0		results_tb2t	1	1	1	
qemu-alpine-ssh	0.0		results_tb2t	1	1	1	
qemu-startup	1.0		results_tb2t	1	1	1	
query-optimize	0.0		results_tb2t	1	1	1	
raman-fitting	0.0		results_tb2t	1	1	1	
regex-chess	0.0		results_tb2t	1	1	1	
regex-log	1.0		results_tb2t	1	1	1	
reshard-c4-data	1.0		results_tb2t	1	1	1	
rstan-to-pystan	1.0		results_tb2t	1	1	1	
sam-cell-seg	0.0		results_tb2t	1	1	1	
sanitize-git-repo	0.0		results_tb2t	1	1	1	
schemelike-metacircular-eval	0.0		results_tb2t	1	1	1	
sparql-university	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
sqlite-db-truncate	1.0		results_tb2t	1	1	1	
sqlite-with-gcov	1.0		results_tb2t	1	1	1	
torch-pipeline-parallelism	0.0		results_tb2t	1	1	1	
torch-tensor-parallelism	0.0		results_tb2t	1	1	1	
train-fasttext	0.0		results_tb2t	1	1	1	
tune-mjcf	1.0		results_tb2t	1	1	1	
video-processing	0.0		results_tb2t	1	1	1	
vulnerable-secret	1.0		results_tb2t	1	1	1	
winning-avg-corewars	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
write-compressor	0.0		results_tb2t	1	1	1	
