instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-14365	0	2189	results_swel	1	1	1	
astropy__astropy-6938	1	3553	results_swel	1	1	1	
django__django-11001	1	4212	results_swel	1	1	1	
django__django-11039	1	2202	results_swel	1	1	1	
django__django-11797	0	3419	results_swel	1	1	1	
django__django-12113		1728	results_swel	1	1	1	
django__django-12184	1	1970	results_swel	1	1	1	
django__django-12453	1	6085	results_swel	1	1	1	
django__django-12470		3363	results_swel	1	1	1	
django__django-13230	0	4840	results_swel	1	1	1	
django__django-13321	0	1817	results_swel	1	1	1	
django__django-13401	1	2409	results_swel	1	1	1	
django__django-13448	0	3436	results_swel	1	1	1	
django__django-13660	0	1325	results_swel	1	1	1	
django__django-13768	0	900	results_swel	1	1	1	
django__django-13933	1	6492	results_swel	1	1	1	
django__django-14382	1	1838	results_swel	1	1	1	
django__django-14534	0	463	results_swel	1	1	1	
django__django-14608		4752	results_swel	1	1	1	
django__django-15252	0	763	results_swel	1	1	1	
django__django-15400	1	4747	results_swel	1	1	1	
django__django-15695	0	4158	results_swel	1	1	1	
django__django-15996		3164	results_swel	1	1	1	
django__django-16255		2925	results_swel	1	1	1	
django__django-16408	1	5054	results_swel	1	1	1	
django__django-16910	1	1384	results_swel	1	1	1	
matplotlib__matplotlib-22711	0	2184	results_swel	1	1	1	
matplotlib__matplotlib-23562	1	2834	results_swel	1	1	1	
matplotlib__matplotlib-23563	1	3400	results_swel	1	1	1	
matplotlib__matplotlib-23913	0	4666	results_swel	1	1	1	
matplotlib__matplotlib-24265		3140	results_swel	1	1	1	
matplotlib__matplotlib-24334	0	2455	results_swel	1	1	1	
mwaskom__seaborn-3010	1	500	results_swel	1	1	1	
pallets__flask-4992	0	4615	results_swel	1	1	1	
psf__requests-2148	1	1413	results_swel	1	1	1	
psf__requests-2317	0	6092	results_swel	1	1	1	
pylint-dev__pylint-6506	0	2691	results_swel	1	1	1	
pytest-dev__pytest-7168	0	1942	results_swel	1	1	1	
pytest-dev__pytest-7490	1	2499	results_swel	1	1	1	
pytest-dev__pytest-8365	0	2247	results_swel	1	1	1	
pytest-dev__pytest-8906	0	8160	results_swel	1	1	1	
scikit-learn__scikit-learn-13241	1	1060	results_swel	1	1	1	
scikit-learn__scikit-learn-13497	0	816	results_swel	1	1	1	
scikit-learn__scikit-learn-13779		1731	results_swel	1	1	1	
scikit-learn__scikit-learn-15535	1	945	results_swel	1	1	1	
scikit-learn__scikit-learn-25500	0	3149	results_swel	1	1	1	
sphinx-doc__sphinx-10325	0	13071	results_swel	1	1	1	
sphinx-doc__sphinx-8273	0	3481	results_swel	1	1	1	
sphinx-doc__sphinx-8282	0	4452	results_swel	1	1	1	
sphinx-doc__sphinx-8595	0	2879	results_swel	1	1	1	
sphinx-doc__sphinx-8713	1	952	results_swel	1	1	1	
sympy__sympy-12171	0	2150	results_swel	1	1	1	
sympy__sympy-12236	1	1091	results_swel	1	1	1	
sympy__sympy-12454	0	463	results_swel	1	1	1	
sympy__sympy-12481		3064	results_swel	1	1	1	
sympy__sympy-13043	0	1624	results_swel	1	1	1	
sympy__sympy-13471		2202	results_swel	1	1	1	
sympy__sympy-13773	0	3696	results_swel	1	1	1	
sympy__sympy-14396	1	2365	results_swel	1	1	1	
sympy__sympy-15308	0	2344	results_swel	1	1	1	
sympy__sympy-15346	1	2033	results_swel	1	1	1	
sympy__sympy-16281	0	5179	results_swel	1	1	1	
sympy__sympy-16988	0	0	results_swel	1	1	1	
sympy__sympy-19254	0	3375	results_swel	1	1	1	
sympy__sympy-19487	0	1810	results_swel	1	1	1	
sympy__sympy-20049	0	4808	results_swel	1	1	1	
sympy__sympy-20212	1	540	results_swel	1	1	1	
sympy__sympy-20442	1	2467	results_swel	1	1	1	
sympy__sympy-20590	1	476	results_swel	1	1	1	
sympy__sympy-21171	0	1303	results_swel	1	1	1	
sympy__sympy-21614	1	1226	results_swel	1	1	1	
sympy__sympy-22005	0	1158	results_swel	1	1	1	
sympy__sympy-23262	1	1137	results_swel	1	1	1	
sympy__sympy-24909	0	2659	results_swel	1	1	1	
