instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-13033	0	6198	results_swev	1	1	1	
astropy__astropy-13236	1	3029	results_swev	1	1	1	
astropy__astropy-13398	0	6665	results_swev	1	1	1	
astropy__astropy-13453	1	1652	results_swev	1	1	1	
astropy__astropy-14096	1	1289	results_swev	1	1	1	
astropy__astropy-14182	1	1308	results_swev	1	1	1	
astropy__astropy-14598	1	8405	results_swev	1	1	1	
astropy__astropy-7166	1	1133	results_swev	1	1	1	
astropy__astropy-7336	1	836	results_swev	1	1	1	
django__django-10554	0	4228	results_swev	1	1	1	
django__django-10973	1	2433	results_swev	1	1	1	
django__django-10999	0	497	results_swev	1	1	1	
django__django-11066	1	4076	results_swev	1	1	1	
django__django-11087	0	2978	results_swev	1	1	1	
django__django-11119	1	485	results_swev	1	1	1	
django__django-11141	1	2037	results_swev	1	1	1	
django__django-11163	1	971	results_swev	1	1	1	
django__django-11211	1	652	results_swev	1	1	1	
django__django-11299	1	5135	results_swev	1	1	1	
django__django-11532	1	2286	results_swev	1	1	1	
django__django-11848	1	830	results_swev	1	1	1	
django__django-11880	1	414	results_swev	1	1	1	
django__django-12039	1	1384	results_swev	1	1	1	
django__django-12125	1	7125	results_swev	1	1	1	
django__django-12193	1	4748	results_swev	1	1	1	
django__django-12273	0	2545	results_swev	1	1	1	
django__django-12308	0	743	results_swev	1	1	1	
django__django-12663	1	2413	results_swev	1	1	1	
django__django-12741	1	1461	results_swev	1	1	1	
django__django-13128	1	2766	results_swev	1	1	1	
django__django-13212	0	5896	results_swev	1	1	1	
django__django-13516	1	461	results_swev	1	1	1	
django__django-13551	0	1187	results_swev	1	1	1	
django__django-13568	1	3154	results_swev	1	1	1	
django__django-13590	1	870	results_swev	1	1	1	
django__django-13670	1	428	results_swev	1	1	1	
django__django-13807	0	1850	results_swev	1	1	1	
django__django-13809	1	2004	results_swev	1	1	1	
django__django-13810	1	1194	results_swev	1	1	1	
django__django-13837	1	1488	results_swev	1	1	1	
django__django-14053	1	1889	results_swev	1	1	1	
django__django-14089	1	978	results_swev	1	1	1	
django__django-14155	0	815	results_swev	1	1	1	
django__django-14238	1	651	results_swev	1	1	1	
django__django-14404	1	3574	results_swev	1	1	1	
django__django-14500	1	701	results_swev	1	1	1	
django__django-14534	0	1310	results_swev	1	1	1	
django__django-14539	1	2729	results_swev	1	1	1	
django__django-15098	0	1779	results_swev	1	1	1	
django__django-15127	1	965	results_swev	1	1	1	
django__django-15161	0	2080	results_swev	1	1	1	
django__django-15278	1	1040	results_swev	1	1	1	
django__django-15375	1	711	results_swev	1	1	1	
django__django-15382	1	1336	results_swev	1	1	1	
django__django-15525	1	922	results_swev	1	1	1	
django__django-15554	1	10086	results_swev	1	1	1	
django__django-15629	1	4437	results_swev	1	1	1	
django__django-15973	1	4616	results_swev	1	1	1	
django__django-16032	0	930	results_swev	1	1	1	
django__django-16136	1	738	results_swev	1	1	1	
django__django-16145	1	1299	results_swev	1	1	1	
django__django-16255	1	3159	results_swev	1	1	1	
django__django-16493	1	2002	results_swev	1	1	1	
django__django-16612	1	1783	results_swev	1	1	1	
django__django-16631	0	8729	results_swev	1	1	1	
django__django-16901	1	1756	results_swev	1	1	1	
django__django-17084	1	1009	results_swev	1	1	1	
django__django-17087	1	616	results_swev	1	1	1	
matplotlib__matplotlib-20826	0	0	results_swev	1	1	1	
matplotlib__matplotlib-20859	1	999	results_swev	1	1	1	
matplotlib__matplotlib-22865	1	1063	results_swev	1	1	1	
matplotlib__matplotlib-22871	1	1316	results_swev	1	1	1	
matplotlib__matplotlib-23314	1	873	results_swev	1	1	1	
matplotlib__matplotlib-24970	1	973	results_swev	1	1	1	
matplotlib__matplotlib-25287	1	2189	results_swev	1	1	1	
matplotlib__matplotlib-25332	1	3236	results_swev	1	1	1	
matplotlib__matplotlib-25479	0	4120	results_swev	1	1	1	
matplotlib__matplotlib-26466	0	1729	results_swev	1	1	1	
psf__requests-1724	1	836	results_swev	1	1	1	
psf__requests-6028	1	1488	results_swev	1	1	1	
pydata__xarray-3993	1	5160	results_swev	1	1	1	
pydata__xarray-4629	1	503	results_swev	1	1	1	
pydata__xarray-4687	0	1757	results_swev	1	1	1	
pydata__xarray-6461	1	2449	results_swev	1	1	1	
pydata__xarray-6744	1	1598	results_swev	1	1	1	
pydata__xarray-7229	0	2880	results_swev	1	1	1	
pydata__xarray-7233	1	555	results_swev	1	1	1	
pydata__xarray-7393	1	3198	results_swev	1	1	1	
pylint-dev__pylint-6386	1	1349	results_swev	1	1	1	
pylint-dev__pylint-6528	0	12162	results_swev	1	1	1	
pylint-dev__pylint-6903	1	1136	results_swev	1	1	1	
pylint-dev__pylint-8898	0	5371	results_swev	1	1	1	
pytest-dev__pytest-10356	0	6002	results_swev	1	1	1	
pytest-dev__pytest-5809	1	1485	results_swev	1	1	1	
pytest-dev__pytest-5840	0	2100	results_swev	1	1	1	
pytest-dev__pytest-6202	1	395	results_swev	1	1	1	
pytest-dev__pytest-7432	1	1617	results_swev	1	1	1	
pytest-dev__pytest-7571	1	1244	results_swev	1	1	1	
scikit-learn__scikit-learn-10844	1	631	results_swev	1	1	1	
scikit-learn__scikit-learn-11578	1	4745	results_swev	1	1	1	
scikit-learn__scikit-learn-13439	1	1489	results_swev	1	1	1	
scikit-learn__scikit-learn-13779	1	611	results_swev	1	1	1	
scikit-learn__scikit-learn-14053	1	1988	results_swev	1	1	1	
scikit-learn__scikit-learn-15100	1	1686	results_swev	1	1	1	
scikit-learn__scikit-learn-25102	0	6355	results_swev	1	1	1	
scikit-learn__scikit-learn-25973	1	3297	results_swev	1	1	1	
scikit-learn__scikit-learn-26194	0	2716	results_swev	1	1	1	
scikit-learn__scikit-learn-9288	1	1691	results_swev	1	1	1	
sphinx-doc__sphinx-10449	1	1441	results_swev	1	1	1	
sphinx-doc__sphinx-10466	1	575	results_swev	1	1	1	
sphinx-doc__sphinx-11510	0	9451	results_swev	1	1	1	
sphinx-doc__sphinx-7440	0	4554	results_swev	1	1	1	
