instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-14365	1	5578	results_swel	1	1	1	
astropy__astropy-6938	1	1562	results_swel	1	1	1	
django__django-11001	1	78664	results_swel	1	1	1	
django__django-11039	1	2360	results_swel	1	1	1	
django__django-11422	1	24108	results_swel	1	1	1	
django__django-11797	1	63977	results_swel	1	1	1	
django__django-12113	1	116358	results_swel	1	1	1	
django__django-12184	0	0	results_swel	1	1	1	
django__django-12453	1	14025	results_swel	1	1	1	
django__django-13230	0	9772	results_swel	1	1	1	
django__django-13321	0	1442	results_swel	1	1	1	
django__django-13401	1	6913	results_swel	1	1	1	
django__django-13448	0	4356	results_swel	1	1	1	
django__django-13660	1	3119	results_swel	1	1	1	
django__django-13768	0	1010	results_swel	1	1	1	
django__django-13933	1	65335	results_swel	1	1	1	
django__django-14382	1	1988	results_swel	1	1	1	
django__django-14534	0	11605	results_swel	1	1	1	
django__django-14608	1	3284	results_swel	1	1	1	
django__django-15252	0	11732	results_swel	1	1	1	
django__django-15400	0	4233	results_swel	1	1	1	
django__django-15695	0	3951	results_swel	1	1	1	
django__django-15996	0	17083	results_swel	1	1	1	
django__django-16255		4028	results_swel	1	1	1	
django__django-16408	1	7073	results_swel	1	1	1	
django__django-16910	1	2395	results_swel	1	1	1	
matplotlib__matplotlib-22711	0	910	results_swel	1	1	1	
matplotlib__matplotlib-23562	1	610	results_swel	1	1	1	
matplotlib__matplotlib-23563	1	2462	results_swel	1	1	1	
matplotlib__matplotlib-23913	1	2159	results_swel	1	1	1	
matplotlib__matplotlib-24265	0	1308	results_swel	1	1	1	
matplotlib__matplotlib-24334	0	1198	results_swel	1	1	1	
mwaskom__seaborn-3010	1	2500	results_swel	1	1	1	
pallets__flask-4992	0	3535	results_swel	1	1	1	
psf__requests-2148	0	0	results_swel	1	1	1	
psf__requests-2317	1	894	results_swel	1	1	1	
pylint-dev__pylint-6506	0	1398	results_swel	1	1	1	
pytest-dev__pytest-7168	1	971	results_swel	1	1	1	
pytest-dev__pytest-7490	1	1495	results_swel	1	1	1	
pytest-dev__pytest-8365	0	4651	results_swel	1	1	1	
pytest-dev__pytest-8906	0	12762	results_swel	1	1	1	
scikit-learn__scikit-learn-13241	0	21178	results_swel	1	1	1	
scikit-learn__scikit-learn-13497	0	641	results_swel	1	1	1	
scikit-learn__scikit-learn-13779	1	3034	results_swel	1	1	1	
scikit-learn__scikit-learn-15535	1	690	results_swel	1	1	1	
scikit-learn__scikit-learn-25500	0	5480	results_swel	1	1	1	
sphinx-doc__sphinx-10325	1	124984	results_swel	1	1	1	
sphinx-doc__sphinx-8273	0	6035	results_swel	1	1	1	
sphinx-doc__sphinx-8282	0	4003	results_swel	1	1	1	
sphinx-doc__sphinx-8595	0	2782	results_swel	1	1	1	
sphinx-doc__sphinx-8713	1	58751	results_swel	1	1	1	
sympy__sympy-12171	0	829	results_swel	1	1	1	
sympy__sympy-12236	0	1280	results_swel	1	1	1	
sympy__sympy-12454	1	806	results_swel	1	1	1	
sympy__sympy-12481	1	1581	results_swel	1	1	1	
sympy__sympy-13043	0	31441	results_swel	1	1	1	
sympy__sympy-13773	0	4524	results_swel	1	1	1	
sympy__sympy-14396	0	2932	results_swel	1	1	1	
sympy__sympy-15308	0	706	results_swel	1	1	1	
sympy__sympy-15346	0	0	results_swel	1	1	1	
sympy__sympy-16281	0	234939	results_swel	1	1	1	
sympy__sympy-16988		189824	results_swel	1	1	1	
sympy__sympy-19254	0	9110	results_swel	1	1	1	
sympy__sympy-19487	0	979	results_swel	1	1	1	
sympy__sympy-20049	0	22733	results_swel	1	1	1	
sympy__sympy-20212	1	121696	results_swel	1	1	1	
sympy__sympy-20442	1	2662	results_swel	1	1	1	
sympy__sympy-20590	1	314	results_swel	1	1	1	
sympy__sympy-21171	0	743	results_swel	1	1	1	
sympy__sympy-21614	1	1764	results_swel	1	1	1	
sympy__sympy-22005	1	1340	results_swel	1	1	1	
sympy__sympy-23262	1	53517	results_swel	1	1	1	
sympy__sympy-24909	0	8300	results_swel	1	1	1	
