instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-14365	0	927	results_swel	1	1	1	
astropy__astropy-6938	1	1417	results_swel	1	1	1	
django__django-11001	1	1618	results_swel	1	1	1	
django__django-11039	1	826	results_swel	1	1	1	
django__django-11422	1	1043	results_swel	1	1	1	
django__django-11797	1	789	results_swel	1	1	1	
django__django-12113	0	633	results_swel	1	1	1	
django__django-12184	1	632	results_swel	1	1	1	
django__django-12453	1	1025	results_swel	1	1	1	
django__django-13230	0	5307	results_swel	1	1	1	
django__django-13321	0	970	results_swel	1	1	1	
django__django-13401	1	1862	results_swel	1	1	1	
django__django-13448	0	769	results_swel	1	1	1	
django__django-13660	0	2968	results_swel	1	1	1	
django__django-13768	0	1520	results_swel	1	1	1	
django__django-13933	1	6201	results_swel	1	1	1	
django__django-14382	1	870	results_swel	1	1	1	
django__django-14534	0	470	results_swel	1	1	1	
django__django-14608		861	results_swel	1	1	1	
django__django-15252	0	2498	results_swel	1	1	1	
django__django-15400	1	945	results_swel	1	1	1	
django__django-15695	0	2195	results_swel	1	1	1	
django__django-15996	0	1930	results_swel	1	1	1	
django__django-16408	1	2794	results_swel	1	1	1	
django__django-16910	1	2356	results_swel	1	1	1	
matplotlib__matplotlib-22711	0	1090	results_swel	1	1	1	
matplotlib__matplotlib-23562	1	1780	results_swel	1	1	1	
matplotlib__matplotlib-23563	0	3415	results_swel	1	1	1	
matplotlib__matplotlib-23913	1	3275	results_swel	1	1	1	
matplotlib__matplotlib-24265	0	1979	results_swel	1	1	1	
matplotlib__matplotlib-24334	0	691	results_swel	1	1	1	
mwaskom__seaborn-3010	1	471	results_swel	1	1	1	
pallets__flask-4992	0	2098	results_swel	1	1	1	
psf__requests-2148	1	1721	results_swel	1	1	1	
psf__requests-2317	1	1432	results_swel	1	1	1	
pylint-dev__pylint-6506	0	2797	results_swel	1	1	1	
pytest-dev__pytest-7168	0	2200	results_swel	1	1	1	
pytest-dev__pytest-7490	0	1527	results_swel	1	1	1	
pytest-dev__pytest-8365	0	907	results_swel	1	1	1	
pytest-dev__pytest-8906	0	6107	results_swel	1	1	1	
scikit-learn__scikit-learn-13241	1	1085	results_swel	1	1	1	
scikit-learn__scikit-learn-13497	0	641	results_swel	1	1	1	
scikit-learn__scikit-learn-13779	1	699	results_swel	1	1	1	
scikit-learn__scikit-learn-15535	1	690	results_swel	1	1	1	
scikit-learn__scikit-learn-25500	0	595	results_swel	1	1	1	
sphinx-doc__sphinx-10325	1	1313	results_swel	1	1	1	
sphinx-doc__sphinx-8273	0	3922	results_swel	1	1	1	
sphinx-doc__sphinx-8282	0	4606	results_swel	1	1	1	
sphinx-doc__sphinx-8595	0	2841	results_swel	1	1	1	
sphinx-doc__sphinx-8713	1	952	results_swel	1	1	1	
sympy__sympy-12171	0	1569	results_swel	1	1	1	
sympy__sympy-12236	1	896	results_swel	1	1	1	
sympy__sympy-12454	1	806	results_swel	1	1	1	
sympy__sympy-12481	1	1580	results_swel	1	1	1	
sympy__sympy-13043	0	1499	results_swel	1	1	1	
sympy__sympy-13773	0	3248	results_swel	1	1	1	
sympy__sympy-14396	1	5363	results_swel	1	1	1	
sympy__sympy-15308	0	1149	results_swel	1	1	1	
sympy__sympy-15346	1	816	results_swel	1	1	1	
sympy__sympy-16281	0	712	results_swel	1	1	1	
sympy__sympy-16988		596	results_swel	1	1	1	
sympy__sympy-19254	0	922	results_swel	1	1	1	
sympy__sympy-19487	0	703	results_swel	1	1	1	
sympy__sympy-20049	0	3182	results_swel	1	1	1	
sympy__sympy-20212	1	1427	results_swel	1	1	1	
sympy__sympy-20442	1	545	results_swel	1	1	1	
sympy__sympy-20590	1	476	results_swel	1	1	1	
sympy__sympy-21171	0	743	results_swel	1	1	1	
sympy__sympy-21614	1	418	results_swel	1	1	1	
sympy__sympy-22005	1	1109	results_swel	1	1	1	
sympy__sympy-23262	1	716	results_swel	1	1	1	
sympy__sympy-24909	0	1557	results_swel	1	1	1	
