dataset	cell	archived_name	source_tree
pro_250	thinking_hermes	instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed__cut_by_walltime_0117	results_nonet
pro_250	thinking_hermes	instance_ansible__ansible-942424e10b2095a173dbd78e7128f52f7995849b-v30a923fb5c164d6cd18280c02422f75e611e8fb2__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_ansible__ansible-bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb-v1055803c3a812189a1133297f7f5468579283f86__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_ansible__ansible-d58e69c82d7edd0583dd8e78d76b075c33c3151e-v173091e2e36d38c978002990795f66cfc0af30ad__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70-v0f01c69f1e2528b935359cfe578530722bca2c59__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_ansible__ansible-d6d2251929c84c3aa883bad7db0f19cc9ff0339e-v30a923fb5c164d6cd18280c02422f75e611e8fb2__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_ansible__ansible-e64c6c1ca50d7d26a8e7747d8eb87642e767cd74-v0f01c69f1e2528b935359cfe578530722bca2c59__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_element-hq__element-web-18c03daa865d3c5b10e52b669cd50be34c67b2e5-vnan__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_element-hq__element-web-33e8edb3d508d6eefb354819ca693b7accc695e7__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_element-hq__element-web-494d9de6f0a94ffb491e74744d2735bce02dc0ab-vnan__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_element-hq__element-web-4c6b0d35add7ae8d58f71ea1711587e31081444b-vnan__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_element-hq__element-web-6961c256035bed0b7640a6e5907652c806968478-vnan__tmp_noexec	results_nonet
pro_250	thinking_hermes	instance_flipt-io__flipt-492cc0b158200089dceede3b1aba0ed28df3fb1d__no_nudge	results_nonet
pro_250	thinking_hermes	instance_future-architect__vuls-4a72295de7b91faa59d90a5bee91535bbe76755d__no_nudge	results_nonet
pro_250	thinking_hermes	instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a__commit_lost	results_nonet
pro_250	thinking_langgraph	instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2__truncated_no_nudge	results_nonet
pro_250	instruct_hermes	instance_NodeBB__NodeBB-9c576a0758690f45a6ca03b5884c601e473bf2c1-vd59a5728dfc977f44533186ace531248c2917516__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_ansible__ansible-7e1a347695c7987ae56ef1b6919156d9254010ad-v390e508d27db7a51eece36bb6d9698b63a5b638a__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_ansible__ansible-8127abbc298cabf04aaa89a478fc5e5e3432a6fc-v30a923fb5c164d6cd18280c02422f75e611e8fb2__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_ansible__ansible-942424e10b2095a173dbd78e7128f52f7995849b-v30a923fb5c164d6cd18280c02422f75e611e8fb2__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59__ghost_tool_abort	results_nonet
pro_250	instruct_hermes	instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_ansible__ansible-bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb-v1055803c3a812189a1133297f7f5468579283f86__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_ansible__ansible-d6d2251929c84c3aa883bad7db0f19cc9ff0339e-v30a923fb5c164d6cd18280c02422f75e611e8fb2__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_element-hq__element-web-18c03daa865d3c5b10e52b669cd50be34c67b2e5-vnan__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_element-hq__element-web-4c6b0d35add7ae8d58f71ea1711587e31081444b-vnan__tmp_noexec	results_nonet
