instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-14365	1	1350	results_swel	1	1	1	
astropy__astropy-6938	1	535	results_swel	1	1	1	
django__django-11001	0	0	results_swel	1	1	1	
django__django-11019		3859	results_swel	1	1	1	
django__django-11039	1	658	results_swel	1	1	1	
django__django-11422	1	960	results_swel	1	1	1	
django__django-11797	0	0	results_swel	1	1	1	
django__django-12113		494	results_swel	1	1	1	
django__django-12184	0	0	results_swel	1	1	1	
django__django-12453	0	723	results_swel	1	1	1	
django__django-13230	1	595	results_swel	1	1	1	
django__django-13321	0	720	results_swel	1	1	1	
django__django-13401	0	1362	results_swel	1	1	1	
django__django-13448	0	0	results_swel	1	1	1	
django__django-13660	0	917	results_swel	1	1	1	
django__django-13768	0	1130	results_swel	1	1	1	
django__django-13933	1	1212	results_swel	1	1	1	
django__django-14382	1	708	results_swel	1	1	1	
django__django-14534	0	412	results_swel	1	1	1	
django__django-14608		1676	results_swel	1	1	1	
django__django-15252	0	4045	results_swel	1	1	1	
django__django-15400	0	574	results_swel	1	1	1	
django__django-15695	0	0	results_swel	1	1	1	
django__django-15996		889	results_swel	1	1	1	
django__django-16255		524	results_swel	1	1	1	
django__django-16408	0	0	results_swel	1	1	1	
django__django-16910	0	1389	results_swel	1	1	1	
matplotlib__matplotlib-22711	0	634	results_swel	1	1	1	
matplotlib__matplotlib-23562	0	0	results_swel	1	1	1	
matplotlib__matplotlib-23563	0	1692	results_swel	1	1	1	
matplotlib__matplotlib-23913	1	1112	results_swel	1	1	1	
matplotlib__matplotlib-24265	0	0	results_swel	1	1	1	
matplotlib__matplotlib-24334	0	0	results_swel	1	1	1	
mwaskom__seaborn-3010	1	639	results_swel	1	1	1	
pallets__flask-4992	0	1701	results_swel	1	1	1	
psf__requests-2148	1	2099	results_swel	1	1	1	
psf__requests-2317	1	1466	results_swel	1	1	1	
pylint-dev__pylint-6506	0	0	results_swel	1	1	1	
pytest-dev__pytest-7168	0	1010	results_swel	1	1	1	
pytest-dev__pytest-7490	0	506	results_swel	1	1	1	
pytest-dev__pytest-8365	0	898	results_swel	1	1	1	
pytest-dev__pytest-8906	0	0	results_swel	1	1	1	
scikit-learn__scikit-learn-13241	0	0	results_swel	1	1	1	
scikit-learn__scikit-learn-13497	1	1142	results_swel	1	1	1	
scikit-learn__scikit-learn-13779		662	results_swel	1	1	1	
scikit-learn__scikit-learn-15535	1	1149	results_swel	1	1	1	
scikit-learn__scikit-learn-25500	0	800	results_swel	1	1	1	
sphinx-doc__sphinx-10325	1	15014	results_swel	1	1	1	
sphinx-doc__sphinx-8273	0	0	results_swel	1	1	1	
sphinx-doc__sphinx-8282	0	2341	results_swel	1	1	1	
sphinx-doc__sphinx-8595	0	0	results_swel	1	1	1	
sphinx-doc__sphinx-8713	1	814	results_swel	1	1	1	
sympy__sympy-12171	0	669	results_swel	1	1	1	
sympy__sympy-12236	0	0	results_swel	1	1	1	
sympy__sympy-12454	0	447	results_swel	1	1	1	
sympy__sympy-12481	1	1860	results_swel	1	1	1	
sympy__sympy-13043	0	0	results_swel	1	1	1	
sympy__sympy-13773	0	1886	results_swel	1	1	1	
sympy__sympy-14396	1	4058	results_swel	1	1	1	
sympy__sympy-15308	0	0	results_swel	1	1	1	
sympy__sympy-15346	0	823	results_swel	1	1	1	
sympy__sympy-16281	0	0	results_swel	1	1	1	
sympy__sympy-16988	0	0	results_swel	1	1	1	
sympy__sympy-19254	0	3234	results_swel	1	1	1	
sympy__sympy-19487	0	648	results_swel	1	1	1	
sympy__sympy-20049	0	2022	results_swel	1	1	1	
sympy__sympy-20212	0	0	results_swel	1	1	1	
sympy__sympy-20442	0	0	results_swel	1	1	1	
sympy__sympy-20590	1	476	results_swel	1	1	1	
sympy__sympy-21171	0	743	results_swel	1	1	1	
sympy__sympy-21614	1	418	results_swel	1	1	1	
sympy__sympy-22005	0	489	results_swel	1	1	1	
sympy__sympy-23262	0	0	results_swel	1	1	1	
sympy__sympy-24909	0	0	results_swel	1	1	1	
