instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
adaptive-rejection-sampler	0.0		results_tb2t	1	1	1	
bn-fit-modify	0.0		results_tb2t	1	1	1	
break-filter-js-from-html	0.0		results_tb2t	1	1	1	
build-cython-ext	0.0		results_tb2t	1	1	1	
build-pmars	0.0		results_tb2t	1	1	1	
build-pov-ray	0.0		results_tb2t	1	1	1	
caffe-cifar-10	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
cancel-async-tasks	0.0		results_tb2t	1	1	1	
chess-best-move	0.0		results_tb2t	1	1	1	
circuit-fibsqrt	0.0		results_tb2t	1	1	1	
cobol-modernization	1.0		results_tb2t	1	1	1	
code-from-image	1.0		results_tb2t	1	1	1	
compile-compcert	0.0		results_tb2t	1	1	1	
configure-git-webserver	0.0		results_tb2t	1	1	1	
constraints-scheduling	1.0		results_tb2t	1	1	1	
count-dataset-tokens	1.0		results_tb2t	1	1	1	
crack-7z-hash	0.0		results_tb2t	1	1	1	
custom-memory-heap-crash	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
db-wal-recovery	0.0		results_tb2t	1	1	1	
distribution-search	1.0		results_tb2t	1	1	1	
dna-assembly	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
dna-insert	0.0		results_tb2t	1	1	1	
extract-elf	1.0		results_tb2t	1	1	1	
extract-moves-from-video	0.0		results_tb2t	1	1	1	
feal-differential-cryptanalysis	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
feal-linear-cryptanalysis	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
filter-js-from-html	0.0		results_tb2t	1	1	1	
financial-document-processor	0.0		results_tb2t	1	1	1	
fix-code-vulnerability	1.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
fix-git	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
fix-ocaml-gc	0.0		results_tb2t	1	1	1	
gcode-to-text	0.0		results_tb2t	1	1	1	
git-leak-recovery	1.0		results_tb2t	1	1	1	
git-multibranch	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
gpt2-codegolf	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
headless-terminal	1.0		results_tb2t	1	1	1	
hf-model-inference	1.0		results_tb2t	1	1	1	
install-windows-3.11	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
kv-store-grpc	1.0		results_tb2t	1	1	1	
large-scale-text-editing	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
largest-eigenval	0.0		results_tb2t	1	1	1	
llm-inference-batching-scheduler	0.0		results_tb2t	1	1	1	
log-summary-date-ranges	1.0		results_tb2t	1	1	1	
mailman	1.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
make-doom-for-mips	0.0		results_tb2t	1	1	1	
make-mips-interpreter	0.0		results_tb2t	1	1	1	
mcmc-sampling-stan	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
merge-diff-arc-agi-task	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
model-extraction-relu-logits	0.0		results_tb2t	1	1	1	
modernize-scientific-stack	1.0		results_tb2t	1	1	1	
mteb-leaderboard	0.0		results_tb2t	1	1	1	
mteb-retrieve	0.0		results_tb2t	1	1	1	
multi-source-data-merger	1.0		results_tb2t	1	1	1	
nginx-request-logging	1.0		results_tb2t	1	1	1	
openssl-selfsigned-cert	1.0		results_tb2t	1	1	1	
overfull-hbox	0.0		results_tb2t	1	1	1	
password-recovery	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
path-tracing	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
path-tracing-reverse	0.0		results_tb2t	1	1	1	
polyglot-c-py	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
polyglot-rust-c	0.0		results_tb2t	1	1	1	
portfolio-optimization	1.0		results_tb2t	1	1	1	
protein-assembly	0.0		results_tb2t	1	1	1	
prove-plus-comm	1.0		results_tb2t	1	1	1	
pypi-server	1.0		results_tb2t	1	1	1	
pytorch-model-cli	1.0		results_tb2t	1	1	1	
pytorch-model-recovery	0.0		results_tb2v	1	1	1	busy-notice rerun replaces main-table run (quiet-long-command trap)
qemu-alpine-ssh	0.0		results_tb2t	1	1	1	
qemu-startup	1.0		results_tb2t	1	1	1	
