instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-13033	0	1366	results_swev	1	1	1	
astropy__astropy-13236	1	819	results_swev	1	1	1	
astropy__astropy-13398	0	4732	results_swev	1	1	1	
astropy__astropy-13453	1	551	results_swev	1	1	1	
astropy__astropy-14096	0	13504	results_swev	1	1	1	
astropy__astropy-14182	1	1729	results_swev	1	1	1	
astropy__astropy-14598	0	0	results_swev	1	1	1	
astropy__astropy-7166	1	3438	results_swev	1	1	1	
django__django-10554	0	0	results_swev	1	1	1	
django__django-10973	1	2951	results_swev	1	1	1	
django__django-10999	0	497	results_swev	1	1	1	
django__django-11087	0	2229	results_swev	1	1	1	
django__django-11119	1	12214	results_swev	1	1	1	
django__django-11141	1	1893	results_swev	1	1	1	
django__django-11163	1	971	results_swev	1	1	1	
django__django-11211	1	4316	results_swev	1	1	1	
django__django-11299	1	2480	results_swev	1	1	1	
django__django-11532	1	2747	results_swev	1	1	1	
django__django-11848	1	931	results_swev	1	1	1	
django__django-11880	1	428	results_swev	1	1	1	
django__django-12039	1	1715	results_swev	1	1	1	
django__django-12125	1	4921	results_swev	1	1	1	
django__django-12193	1	454	results_swev	1	1	1	
django__django-12273	0	14808	results_swev	1	1	1	
django__django-12308	0	1837	results_swev	1	1	1	
django__django-12663	0	1166	results_swev	1	1	1	
django__django-12741	1	2610	results_swev	1	1	1	
django__django-13128	1	1273	results_swev	1	1	1	
django__django-13212	0	12434	results_swev	1	1	1	
django__django-13516	1	553	results_swev	1	1	1	
django__django-13551	1	3601	results_swev	1	1	1	
django__django-13568	1	7186	results_swev	1	1	1	
django__django-13590	1	1043	results_swev	1	1	1	
django__django-13670	1	425	results_swev	1	1	1	
django__django-13807	0	1351	results_swev	1	1	1	
django__django-13809	0	1741	results_swev	1	1	1	
django__django-13810	1	4828	results_swev	1	1	1	
django__django-13837	1	10482	results_swev	1	1	1	
django__django-14053	0	692	results_swev	1	1	1	
django__django-14089	1	420	results_swev	1	1	1	
django__django-14155	0	3679	results_swev	1	1	1	
django__django-14238	1	651	results_swev	1	1	1	
django__django-14404	0	569	results_swev	1	1	1	
django__django-14500	1	699	results_swev	1	1	1	
django__django-14534	0	470	results_swev	1	1	1	
django__django-14539	1	1857	results_swev	1	1	1	
django__django-15098	0	1076	results_swev	1	1	1	
django__django-15127	1	2729	results_swev	1	1	1	
django__django-15161	1	4591	results_swev	1	1	1	
django__django-15278	1	918	results_swev	1	1	1	
django__django-15375	1	711	results_swev	1	1	1	
django__django-15382	1	1155	results_swev	1	1	1	
django__django-15525	1	1234	results_swev	1	1	1	
django__django-15554	1	1170	results_swev	1	1	1	
django__django-15629	0	2886	results_swev	1	1	1	
django__django-15973	0	19552	results_swev	1	1	1	
django__django-16032	0	0	results_swev	1	1	1	
django__django-16136	1	738	results_swev	1	1	1	
django__django-16145	1	1585	results_swev	1	1	1	
django__django-16255	1	524	results_swev	1	1	1	
django__django-16493	1	4020	results_swev	1	1	1	
django__django-16612	1	595	results_swev	1	1	1	
django__django-16631	0	4566	results_swev	1	1	1	
django__django-16901	1	1239	results_swev	1	1	1	
django__django-17084	1	1123	results_swev	1	1	1	
django__django-17087	1	3779	results_swev	1	1	1	
matplotlib__matplotlib-20826	0	46132	results_swev	1	1	1	
