dataset	cell	instance_id	replaced_source	replaced_verdict	new_source	new_verdict	reason
tb2_89	thinking_hermes	merge-diff-arc-agi-task	results_tb2t/thinking/hermes	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	thinking_hermes	prove-plus-comm	results_tb2t/thinking/hermes	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	thinking_hermes	sparql-university	results_tb2t/thinking/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	thinking_hermes	winning-avg-corewars	results_tb2t/thinking/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	thinking_langgraph	merge-diff-arc-agi-task	results_tb2t/thinking/langgraph	1.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	thinking_langgraph	prove-plus-comm	results_tb2t/thinking/langgraph	1.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	thinking_langgraph	sparql-university	results_tb2t/thinking/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	thinking_langgraph	winning-avg-corewars	results_tb2t/thinking/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	chess-best-move	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	distribution-search	results_tb2t/instruct/hermes	1.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	dna-assembly	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	filter-js-from-html	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	fix-ocaml-gc	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	install-windows-3.11	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	large-scale-text-editing	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	mcmc-sampling-stan	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	nginx-request-logging	results_tb2t/instruct/hermes	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	polyglot-c-py	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	protein-assembly	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	regex-log	results_tb2t/instruct/hermes	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	sparql-university	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	torch-tensor-parallelism	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	train-fasttext	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_hermes	winning-avg-corewars	results_tb2t/instruct/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	chess-best-move	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	distribution-search	results_tb2t/instruct/langgraph	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	dna-assembly	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	filter-js-from-html	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	fix-ocaml-gc	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
