dataset	mode	framework	instance_id	source_tree	verdict	patch_bytes	has_log	has_tool_calls	has_llm_parquet	note
pro_250	thinking	hermes	instance_NodeBB__NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11-vd59a5728dfc977f44533186ace531248c2917516	results_nonet	1	10134	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed	results_nonet	1	15499	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-4327a09d76f10a79109da9d91c22120428d3bdb9-vnan	results_nonet	0	32624	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	results_nonet	1	5067	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-6489e9fd9ed16ea743cc5627f4d86c72fbdb3a8a-v2c59007b1005cd5cd14cbb523ca5229db1fd2dd8	results_nonet	0	6050	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-6ea3b51f128dd270281db576a1b59270d5e45db0-vnan	results_nonet	1	2891	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-9c576a0758690f45a6ca03b5884c601e473bf2c1-vd59a5728dfc977f44533186ace531248c2917516	results_nonet	0	3312	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-b398321a5eb913666f903a794219833926881a8f-vd59a5728dfc977f44533186ace531248c2917516	results_nonet	1	11171	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-eb49a64974ca844bca061744fb3383f5d13b02ad-vnan	results_nonet	0	8689	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-f083cd559d69c16481376868c8da65172729c0ca-vnan	results_nonet	1	3621	1	1	1	
pro_250	thinking	hermes	instance_NodeBB__NodeBB-f2082d7de85eb62a70819f4f3396dd85626a0c0a-vd59a5728dfc977f44533186ace531248c2917516	results_nonet	0	6235	1	1	1	
