kind	cell	graded	PASS	WRONG-FIX	REGRESSION	NOT-APPLIED	EMPTY	UNGRADED	not_applied_ids
swev	thinking_hermes	109	85	15	3	1	5	37	django__django-10554
swev	thinking_langgraph	109	69	26	6	1	7	37	django__django-10554
swev	instruct_hermes	116	72	29	7	1	7	30	astropy__astropy-7336
swev	instruct_langgraph	128	43	16	8	1	60	18	sympy__sympy-12489
swev	coder_hermes	117	80	23	8	1	5	26	django__django-15629
swev	coder_langgraph	125	85	30	3	0	7	18	
swel	thinking_hermes	63	37	19	2	0	5	12	
swel	thinking_langgraph	64	30	29	3	0	2	9	
swel	instruct_hermes	65	24	28	7	1	5	9	sphinx-doc__sphinx-8595
swel	instruct_langgraph	68	19	22	3	0	24	6	
swel	coder_hermes	71	34	28	3	1	5	2	sphinx-doc__sphinx-8595
swel	coder_langgraph	70	34	29	6	1	0	2	sphinx-doc__sphinx-8595
