instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-13033	0	5890	results_swev	1	1	1	
astropy__astropy-13236	1	13444	results_swev	1	1	1	
astropy__astropy-13398	0	18376	results_swev	1	1	1	
astropy__astropy-13453	1	2313	results_swev	1	1	1	
astropy__astropy-14096	1	4014	results_swev	1	1	1	
astropy__astropy-14182	1	3690	results_swev	1	1	1	
astropy__astropy-14598	0	3141	results_swev	1	1	1	
astropy__astropy-7166	0	2165	results_swev	1	1	1	
astropy__astropy-7336	0	1727	results_swev	1	1	1	
django__django-10554	0	0	results_swev	1	1	1	
django__django-10973	0	7548	results_swev	1	1	1	
django__django-10999	0	1267	results_swev	1	1	1	
django__django-11066	1	767	results_swev	1	1	1	
django__django-11087	0	1096	results_swev	1	1	1	
django__django-11119	1	1589	results_swev	1	1	1	
django__django-11141	1	4690	results_swev	1	1	1	
django__django-11163	1	1259	results_swev	1	1	1	
django__django-11211	1	3868	results_swev	1	1	1	
django__django-11299	1	700	results_swev	1	1	1	
django__django-11532	0	3614	results_swev	1	1	1	
django__django-11848	0	2924	results_swev	1	1	1	
django__django-11880	1	1463	results_swev	1	1	1	
django__django-12039	0	871	results_swev	1	1	1	
django__django-12125	1	2806	results_swev	1	1	1	
django__django-12193	0	957	results_swev	1	1	1	
django__django-12273	0	896	results_swev	1	1	1	
django__django-12308	0	6548	results_swev	1	1	1	
django__django-12663	0	802	results_swev	1	1	1	
django__django-12741	1	2581	results_swev	1	1	1	
django__django-13128	1	6298	results_swev	1	1	1	
django__django-13212	0	11903	results_swev	1	1	1	
django__django-13516	1	418	results_swev	1	1	1	
django__django-13551	0	3155	results_swev	1	1	1	
django__django-13568	1	5072	results_swev	1	1	1	
django__django-13590	1	1035	results_swev	1	1	1	
django__django-13670	1	1435	results_swev	1	1	1	
django__django-13807	0	1879	results_swev	1	1	1	
django__django-13809	1	5367	results_swev	1	1	1	
django__django-13810	1	2398	results_swev	1	1	1	
django__django-13837	0	4989	results_swev	1	1	1	
django__django-14053	1	3858	results_swev	1	1	1	
django__django-14089	1	933	results_swev	1	1	1	
django__django-14155	0	5177	results_swev	1	1	1	
django__django-14238	1	1593	results_swev	1	1	1	
django__django-14404	1	6153	results_swev	1	1	1	
django__django-14500	1	3457	results_swev	1	1	1	
django__django-14534	0	463	results_swev	1	1	1	
django__django-14539	0	3400	results_swev	1	1	1	
django__django-15098	0	5180	results_swev	1	1	1	
django__django-15127	0	3940	results_swev	1	1	1	
django__django-15161	0	4512	results_swev	1	1	1	
django__django-15278	1	945	results_swev	1	1	1	
