instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-14365	1	2893	results_swel	1	1	1	
astropy__astropy-6938	1	890	results_swel	1	1	1	
django__django-11001	1	543	results_swel	1	1	1	
django__django-11039	1	1999	results_swel	1	1	1	
django__django-11422	1	2765	results_swel	1	1	1	
django__django-11797	1	1101	results_swel	1	1	1	
django__django-12113	0	633	results_swel	1	1	1	
django__django-12184	1	926	results_swel	1	1	1	
django__django-12453	1	6022	results_swel	1	1	1	
django__django-12470	1	898	results_swel	1	1	1	
django__django-13230	1	1903	results_swel	1	1	1	
django__django-13321	0	1736	results_swel	1	1	1	
django__django-13401	1	2124	results_swel	1	1	1	
django__django-13448	0	1606	results_swel	1	1	1	
django__django-13660	1	1078	results_swel	1	1	1	
django__django-13768	0	1616	results_swel	1	1	1	
django__django-13933	1	1271	results_swel	1	1	1	
django__django-14382	1	708	results_swel	1	1	1	
django__django-14534	0	1310	results_swel	1	1	1	
django__django-14608	1	3501	results_swel	1	1	1	
django__django-15252	0	3308	results_swel	1	1	1	
django__django-15400	1	2602	results_swel	1	1	1	
django__django-15695	1	2472	results_swel	1	1	1	
django__django-15996	1	1449	results_swel	1	1	1	
django__django-16255	1	3159	results_swel	1	1	1	
django__django-16408	0	3845	results_swel	1	1	1	
django__django-16910	1	919	results_swel	1	1	1	
matplotlib__matplotlib-22711	0	3424	results_swel	1	1	1	
matplotlib__matplotlib-23562	1	2594	results_swel	1	1	1	
matplotlib__matplotlib-23563	1	4338	results_swel	1	1	1	
matplotlib__matplotlib-23913	1	1147	results_swel	1	1	1	
matplotlib__matplotlib-24265	0	13211	results_swel	1	1	1	
matplotlib__matplotlib-24334	1	1180	results_swel	1	1	1	
mwaskom__seaborn-3010	1	467	results_swel	1	1	1	
pallets__flask-4992	0	2588	results_swel	1	1	1	
psf__requests-2148	1	3366	results_swel	1	1	1	
psf__requests-2317	1	396	results_swel	1	1	1	
pylint-dev__pylint-6506	0	1664	results_swel	1	1	1	
pytest-dev__pytest-7168	1	4483	results_swel	1	1	1	
pytest-dev__pytest-7490	1	2404	results_swel	1	1	1	
pytest-dev__pytest-8365	0	2465	results_swel	1	1	1	
pytest-dev__pytest-8906	0	2389	results_swel	1	1	1	
scikit-learn__scikit-learn-13241	1	1436	results_swel	1	1	1	
scikit-learn__scikit-learn-13497	0	990	results_swel	1	1	1	
scikit-learn__scikit-learn-13779	1	611	results_swel	1	1	1	
scikit-learn__scikit-learn-15535	1	3908	results_swel	1	1	1	
scikit-learn__scikit-learn-25500	0	803	results_swel	1	1	1	
sphinx-doc__sphinx-10325	1	3475	results_swel	1	1	1	
sphinx-doc__sphinx-8273	0	2792	results_swel	1	1	1	
sphinx-doc__sphinx-8282	0	1576	results_swel	1	1	1	
sphinx-doc__sphinx-8595	1	996	results_swel	1	1	1	
sphinx-doc__sphinx-8713	1	1881	results_swel	1	1	1	
sympy__sympy-12171	0	753	results_swel	1	1	1	
sympy__sympy-12236	1	2470	results_swel	1	1	1	
sympy__sympy-12454	1	1894	results_swel	1	1	1	
sympy__sympy-12481	1	3778	results_swel	1	1	1	
sympy__sympy-13043	0	992	results_swel	1	1	1	
sympy__sympy-13471	1	574	results_swel	1	1	1	
sympy__sympy-13773	1	2092	results_swel	1	1	1	
sympy__sympy-14396	1	3358	results_swel	1	1	1	
sympy__sympy-15308	0	514	results_swel	1	1	1	
sympy__sympy-15346	1	654	results_swel	1	1	1	
sympy__sympy-16281	0	3932	results_swel	1	1	1	
sympy__sympy-16988	0	1889	results_swel	1	1	1	
sympy__sympy-19254	0	0	results_swel	1	1	1	
sympy__sympy-19487	0	943	results_swel	1	1	1	
sympy__sympy-20049	0	4575	results_swel	1	1	1	
sympy__sympy-20212	1	518	results_swel	1	1	1	
sympy__sympy-20442	1	1956	results_swel	1	1	1	
sympy__sympy-20590	1	476	results_swel	1	1	1	
sympy__sympy-21171	0	1303	results_swel	1	1	1	
sympy__sympy-21614	1	410	results_swel	1	1	1	
sympy__sympy-22005	1	1249	results_swel	1	1	1	
sympy__sympy-23262	1	584	results_swel	1	1	1	
sympy__sympy-24909	1	1208	results_swel	1	1	1	
