instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-13033	0	1828	results_swev	1	1	1	
astropy__astropy-13236	0	742	results_swev	1	1	1	
astropy__astropy-13398	0	5474	results_swev	1	1	1	
astropy__astropy-13453	1	1047	results_swev	1	1	1	
astropy__astropy-14096	1	1111	results_swev	1	1	1	
astropy__astropy-14182	0	1603	results_swev	1	1	1	
astropy__astropy-14598	0	507	results_swev	1	1	1	
astropy__astropy-7166	1	531	results_swev	1	1	1	
astropy__astropy-7336	1	841	results_swev	1	1	1	
django__django-10554	0	1204	results_swev	1	1	1	
django__django-10973	1	2563	results_swev	1	1	1	
django__django-10999	0	497	results_swev	1	1	1	
django__django-11066	1	767	results_swev	1	1	1	
django__django-11087	0	1095	results_swev	1	1	1	
django__django-11099	1	901	results_swev	1	1	1	
django__django-11119	1	485	results_swev	1	1	1	
django__django-11133	1	612	results_swev	1	1	1	
django__django-11141	0	777	results_swev	1	1	1	
django__django-11163	1	570	results_swev	1	1	1	
django__django-11211	1	1211	results_swev	1	1	1	
django__django-11265	1	598	results_swev	1	1	1	
django__django-11292	1	866	results_swev	1	1	1	
django__django-11299	1	700	results_swev	1	1	1	
django__django-11532	0	867	results_swev	1	1	1	
django__django-11848	1	1232	results_swev	1	1	1	
django__django-11880	1	446	results_swev	1	1	1	
django__django-12039	1	1087	results_swev	1	1	1	
django__django-12125	1	599	results_swev	1	1	1	
django__django-12193	1	500	results_swev	1	1	1	
django__django-12273	0	827	results_swev	1	1	1	
django__django-12308	0	792	results_swev	1	1	1	
django__django-12663	0	0	results_swev	1	1	1	
django__django-12741	1	1514	results_swev	1	1	1	
django__django-13128	1	1141	results_swev	1	1	1	
django__django-13212	0	6316	results_swev	1	1	1	
django__django-13516	1	560	results_swev	1	1	1	
django__django-13551	0	1410	results_swev	1	1	1	
django__django-13568	1	1784	results_swev	1	1	1	
django__django-13590	0	714	results_swev	1	1	1	
django__django-13670	1	425	results_swev	1	1	1	
django__django-13807	1	1921	results_swev	1	1	1	
django__django-13809	0	645	results_swev	1	1	1	
django__django-13810	1	848	results_swev	1	1	1	
django__django-13837	1	1026	results_swev	1	1	1	
django__django-14053	1	1860	results_swev	1	1	1	
django__django-14089	1	426	results_swev	1	1	1	
django__django-14155	0	0	results_swev	1	1	1	
django__django-14238	1	651	results_swev	1	1	1	
django__django-14404	0	569	results_swev	1	1	1	
django__django-14500	1	597	results_swev	1	1	1	
django__django-14534	0	427	results_swev	1	1	1	
django__django-14539	1	1003	results_swev	1	1	1	
django__django-15098	0	989	results_swev	1	1	1	
django__django-15127	0	601	results_swev	1	1	1	
django__django-15161	1	3576	results_swev	1	1	1	
django__django-15278	1	753	results_swev	1	1	1	
django__django-15375	1	711	results_swev	1	1	1	
django__django-15382	1	1062	results_swev	1	1	1	
django__django-15554	1	1970	results_swev	1	1	1	
django__django-15629	0	1549	results_swev	1	1	1	
django__django-15973	0	4166	results_swev	1	1	1	
django__django-16032	1	610	results_swev	1	1	1	
django__django-16136	1	738	results_swev	1	1	1	
django__django-16145	1	714	results_swev	1	1	1	
django__django-16255	1	524	results_swev	1	1	1	
django__django-16493	1	687	results_swev	1	1	1	
django__django-16612	1	643	results_swev	1	1	1	
django__django-16631	0	1648	results_swev	1	1	1	
django__django-16901	1	942	results_swev	1	1	1	
django__django-17084	1	599	results_swev	1	1	1	
django__django-17087	1	804	results_swev	1	1	1	
matplotlib__matplotlib-20826	1	1088	results_swev	1	1	1	
matplotlib__matplotlib-20859	0	912	results_swev	1	1	1	
matplotlib__matplotlib-22865	1	719	results_swev	1	1	1	
matplotlib__matplotlib-22871	0	610	results_swev	1	1	1	
matplotlib__matplotlib-23314	1	438	results_swev	1	1	1	
matplotlib__matplotlib-24970	1	830	results_swev	1	1	1	
matplotlib__matplotlib-25287	1	1149	results_swev	1	1	1	
matplotlib__matplotlib-25332	1	1194	results_swev	1	1	1	
matplotlib__matplotlib-25479	0	604	results_swev	1	1	1	
matplotlib__matplotlib-26466	0	577	results_swev	1	1	1	
psf__requests-1724	1	539	results_swev	1	1	1	
psf__requests-6028	0	0	results_swev	1	1	1	
pydata__xarray-3993	0	1477	results_swev	1	1	1	
pydata__xarray-4629	1	503	results_swev	1	1	1	
pydata__xarray-4687	0	0	results_swev	1	1	1	
pydata__xarray-6461	1	635	results_swev	1	1	1	
pydata__xarray-6744	1	910	results_swev	1	1	1	
pydata__xarray-7229	0	1535	results_swev	1	1	1	
pydata__xarray-7233	1	555	results_swev	1	1	1	
pydata__xarray-7393	1	618	results_swev	1	1	1	
pylint-dev__pylint-6386	1	1387	results_swev	1	1	1	
pylint-dev__pylint-6528	1	2839	results_swev	1	1	1	
pylint-dev__pylint-6903	1	1130	results_swev	1	1	1	
pylint-dev__pylint-8898	0	0	results_swev	1	1	1	
pytest-dev__pytest-10356	0	1990	results_swev	1	1	1	
pytest-dev__pytest-5809	1	416	results_swev	1	1	1	
pytest-dev__pytest-5840	0	413	results_swev	1	1	1	
pytest-dev__pytest-6202	1	395	results_swev	1	1	1	
pytest-dev__pytest-7432	1	1826	results_swev	1	1	1	
pytest-dev__pytest-7571	1	1261	results_swev	1	1	1	
scikit-learn__scikit-learn-10844	1	651	results_swev	1	1	1	
scikit-learn__scikit-learn-11578	1	882	results_swev	1	1	1	
scikit-learn__scikit-learn-13439	1	495	results_swev	1	1	1	
scikit-learn__scikit-learn-13779	1	699	results_swev	1	1	1	
scikit-learn__scikit-learn-15100	1	698	results_swev	1	1	1	
scikit-learn__scikit-learn-26194	0	1411	results_swev	1	1	1	
scikit-learn__scikit-learn-9288	1	1129	results_swev	1	1	1	
