instance_id	verdict	patch_bytes	source_tree	has_log	has_tool_calls	has_llm_parquet	note
astropy__astropy-13033	0	5189	results_swev	1	1	1	
astropy__astropy-13236	1	5048	results_swev	1	1	1	
astropy__astropy-13398	0	13033	results_swev	1	1	1	
astropy__astropy-13453	1	4241	results_swev	1	1	1	
astropy__astropy-14096	1	96909	results_swev	1	1	1	
astropy__astropy-14182	1	5123	results_swev	1	1	1	
astropy__astropy-7166	1	3803	results_swev	1	1	1	
django__django-10554	0	3020	results_swev	1	1	1	
django__django-10973	1	6881	results_swev	1	1	1	
django__django-10999	0	5547	results_swev	1	1	1	
django__django-11087	0	16514	results_swev	1	1	1	
django__django-11119	1	8225	results_swev	1	1	1	
django__django-11141	0	1981	results_swev	1	1	1	
django__django-11163	1	971	results_swev	1	1	1	
django__django-11211	1	6124	results_swev	1	1	1	
django__django-11299	1	4519	results_swev	1	1	1	
django__django-11532	1	4216	results_swev	1	1	1	
django__django-11848	0	1673	results_swev	1	1	1	
django__django-11880	1	3668	results_swev	1	1	1	
django__django-12039	1	3853	results_swev	1	1	1	
django__django-12125	1	34448	results_swev	1	1	1	
django__django-12193	0	2905	results_swev	1	1	1	
django__django-12273	1	359755	results_swev	1	1	1	
django__django-12308	0	2949	results_swev	1	1	1	
django__django-12663	0	4573	results_swev	1	1	1	
django__django-12741	1	2610	results_swev	1	1	1	
django__django-13128	1	1384	results_swev	1	1	1	
django__django-13212	0	7032	results_swev	1	1	1	
django__django-13516	1	23920	results_swev	1	1	1	
django__django-13551	1	1572	results_swev	1	1	1	
django__django-13568	1	14713	results_swev	1	1	1	
django__django-13590	1	4038	results_swev	1	1	1	
django__django-13670	1	1446	results_swev	1	1	1	
django__django-13807	0	1351	results_swev	1	1	1	
django__django-13809	0	1345	results_swev	1	1	1	
django__django-13810	1	16394	results_swev	1	1	1	
django__django-13837	1	28211	results_swev	1	1	1	
django__django-14053	0	997	results_swev	1	1	1	
django__django-14089	1	420	results_swev	1	1	1	
django__django-14155	0	1145	results_swev	1	1	1	
django__django-14238	1	99588	results_swev	1	1	1	
django__django-14404	0	569	results_swev	1	1	1	
django__django-14500	1	2312	results_swev	1	1	1	
django__django-14534	0	11605	results_swev	1	1	1	
django__django-14539	1	2650	results_swev	1	1	1	
django__django-15098	0	23068	results_swev	1	1	1	
django__django-15127	1	1795	results_swev	1	1	1	
django__django-15161	1	7423	results_swev	1	1	1	
django__django-15278	1	3255	results_swev	1	1	1	
django__django-15375	1	711	results_swev	1	1	1	
django__django-15382	1	3171	results_swev	1	1	1	
django__django-15525	0	25656	results_swev	1	1	1	
django__django-15554	1	3269	results_swev	1	1	1	
django__django-15629	0	3403	results_swev	1	1	1	
django__django-15973	0	83424	results_swev	1	1	1	
django__django-16032	1	4043	results_swev	1	1	1	
django__django-16136	1	738	results_swev	1	1	1	
django__django-16145	1	2347	results_swev	1	1	1	
django__django-16255	1	4028	results_swev	1	1	1	
django__django-16493	1	3367	results_swev	1	1	1	
django__django-16612	1	1157	results_swev	1	1	1	
django__django-16631	0	13314	results_swev	1	1	1	
django__django-16901	1	4937	results_swev	1	1	1	
django__django-17084	0	0	results_swev	1	1	1	
django__django-17087	1	17580	results_swev	1	1	1	
matplotlib__matplotlib-20826	1	241530	results_swev	1	1	1	
matplotlib__matplotlib-20859	1	27043	results_swev	1	1	1	
matplotlib__matplotlib-22865	0	600	results_swev	1	1	1	
matplotlib__matplotlib-22871	1	387371	results_swev	1	1	1	
matplotlib__matplotlib-23314	1	3159	results_swev	1	1	1	
matplotlib__matplotlib-24970	1	803	results_swev	1	1	1	
matplotlib__matplotlib-25287	1	4891	results_swev	1	1	1	
matplotlib__matplotlib-25332	1	3352	results_swev	1	1	1	
matplotlib__matplotlib-25479	0	2244	results_swev	1	1	1	
matplotlib__matplotlib-26466	0	4765	results_swev	1	1	1	
psf__requests-1724	1	33159	results_swev	1	1	1	
psf__requests-6028	0	3257	results_swev	1	1	1	
pydata__xarray-3993	1	2491	results_swev	1	1	1	
pydata__xarray-4629	1	2929	results_swev	1	1	1	
pydata__xarray-4687	0	1404	results_swev	1	1	1	
pydata__xarray-6461	1	72283	results_swev	1	1	1	
pydata__xarray-6744	1	43841	results_swev	1	1	1	
pydata__xarray-7229	0	78721	results_swev	1	1	1	
pydata__xarray-7233	1	2621	results_swev	1	1	1	
pydata__xarray-7393	1	2548	results_swev	1	1	1	
pylint-dev__pylint-6386	0	474	results_swev	1	1	1	
pylint-dev__pylint-6528	0	11035	results_swev	1	1	1	
pylint-dev__pylint-6903	1	12408	results_swev	1	1	1	
pylint-dev__pylint-8898	0	4136	results_swev	1	1	1	
pytest-dev__pytest-10356	0	7833	results_swev	1	1	1	
pytest-dev__pytest-5809	1	987	results_swev	1	1	1	
pytest-dev__pytest-5840	0	0	results_swev	1	1	1	
pytest-dev__pytest-6202	1	395	results_swev	1	1	1	
pytest-dev__pytest-7432	1	3852	results_swev	1	1	1	
pytest-dev__pytest-7571	1	3389	results_swev	1	1	1	
scikit-learn__scikit-learn-10844	1	2501	results_swev	1	1	1	
scikit-learn__scikit-learn-11578	1	638	results_swev	1	1	1	
scikit-learn__scikit-learn-13439	1	3267	results_swev	1	1	1	
scikit-learn__scikit-learn-13779	1	3034	results_swev	1	1	1	
scikit-learn__scikit-learn-14053	1	2069	results_swev	1	1	1	
scikit-learn__scikit-learn-15100	1	619	results_swev	1	1	1	
scikit-learn__scikit-learn-25102	0	19154	results_swev	1	1	1	
scikit-learn__scikit-learn-25973	1	19692	results_swev	1	1	1	
scikit-learn__scikit-learn-26194	0	3384	results_swev	1	1	1	
scikit-learn__scikit-learn-9288	1	73265	results_swev	1	1	1	
sphinx-doc__sphinx-10449	1	4913	results_swev	1	1	1	
sphinx-doc__sphinx-10466	1	3235	results_swev	1	1	1	
sphinx-doc__sphinx-11510	0	25819	results_swev	1	1	1	
sphinx-doc__sphinx-7440	1	1024	results_swev	1	1	1	
sphinx-doc__sphinx-7985	0	20014	results_swev	1	1	1	
sphinx-doc__sphinx-8265	1	61884	results_swev	1	1	1	
sphinx-doc__sphinx-8459	0	10117	results_swev	1	1	1	
sphinx-doc__sphinx-8475	1	3087	results_swev	1	1	1	
sphinx-doc__sphinx-8548	0	4546	results_swev	1	1	1	
sphinx-doc__sphinx-9230	0	7034	results_swev	1	1	1	
sphinx-doc__sphinx-9258	0	106643	results_swev	1	1	1	
sphinx-doc__sphinx-9602	0	8766	results_swev	1	1	1	
sphinx-doc__sphinx-9698	1	62401	results_swev	1	1	1	
sympy__sympy-12096	1	93948	results_swev	1	1	1	
sympy__sympy-12481	1	1581	results_swev	1	1	1	
sympy__sympy-12489	1	112562	results_swev	1	1	1	
sympy__sympy-13091	0	210887	results_swev	1	1	1	
sympy__sympy-13551	1	2876	results_swev	1	1	1	
sympy__sympy-13647	1	529	results_swev	1	1	1	
sympy__sympy-13757	1	1699	results_swev	1	1	1	
sympy__sympy-13852	0	20550	results_swev	1	1	1	
sympy__sympy-13877	1	149143	results_swev	1	1	1	
sympy__sympy-14531	1	40326	results_swev	1	1	1	
sympy__sympy-15017	0	18059	results_swev	1	1	1	
sympy__sympy-15875	1	397	results_swev	1	1	1	
sympy__sympy-16766	1	2545	results_swev	1	1	1	
sympy__sympy-16792	1	93308	results_swev	1	1	1	
sympy__sympy-18698	0	2399	results_swev	1	1	1	
sympy__sympy-18763	0	1299	results_swev	1	1	1	
sympy__sympy-19040		1854	results_swev	1	1	1	
sympy__sympy-19495	1	11405	results_swev	1	1	1	
sympy__sympy-19637	1	431	results_swev	1	1	1	
sympy__sympy-19954	1	1278	results_swev	1	1	1	
sympy__sympy-20154	1	1706	results_swev	1	1	1	
sympy__sympy-21612	0	678	results_swev	1	1	1	
sympy__sympy-23824	1	591	results_swev	1	1	1	
sympy__sympy-24213	1	691	results_swev	1	1	1	
sympy__sympy-24443	1	1201	results_swev	1	1	1	
